video_id,title,published_at,description,channel_title,channel_id,category_id,view_count,like_count,comment_count,view_velocity,engagement_ratio
chl1brkg1j0,सूखे नारियल 🥥 की चटनी 😋👌 #food #recipe # #youtubeshorts  #cooking #streetfood  #shortvideo,2026-06-15T07:35:14Z,,Rathore recpie factory😋,UCZGNlbxICpxYcfwRoCrHnmQ,26,488,5,0,282.78489806245875,0.010245901639344262
_MUVmQ6P7cc,SewaiKeer💜 #homemade #trend #trendingshorts #reels #youtubeshorts #youtube #food #recipe #cooking,2026-06-15T07:33:49Z,,HungryDiary,UCPFbc-AfIK0B0a8JNcpfCKA,22,450,5,0,257.24510880700336,0.011111111111111112
rJ4bei8e26c,day in my life#shortvideo #shortsfeed #food #cooking #recipe#minivlog,2026-06-15T07:30:39Z,,Dhanikksha Sameera lifestyle ,UCEflVPlo6F-faD0Vo7HNPlg,22,571,8,0,316.8556949962618,0.014010507880910683
v9z-ZqvP6D8,healthy methi dry fruits Ladoo#methiladoo #ytshorts #food #recipe #cooking #healthy #dryfruits,2026-06-15T07:30:33Z,,Lavanya Kilje,UC_AW6Axv2efoOHFyRVcC-xg,22,393,8,2,217.8795577974522,0.02544529262086514
0NliLazZg_U,"🌿 ""ಬಿಸಿ ಅನ್ನಕ್ಕೆ ಸೊಪ್ಪು ಬೇಳೆ ಬಸ್ಸಾರು ಸೇರಿದರೆ, ಊಟವೇ ಹಬ್ಬವಾಗುತ್ತದೆ.""#food #cooking #recipe #shorts",2026-06-15T07:28:04Z,,MS VLOGS ,UCS1eaXe76_AuRP1UyKI2z5A,22,848,10,2,459.5862877643689,0.014150943396226415
EQv8E4Sfm_o,#mrichi bajji #food #cooking #recipe ##indianfood #youtubeshorts,2026-06-15T07:26:08Z,,Aruna's Kitchen flavours ,UCbElhUYR7qRjtq-lWUuLJDQ,22,628,7,0,334.5123022736259,0.011146496815286623
zVYyH1Z3aaQ,"ഒരു variety ചമ്മന്തി ആയാലോ,🍛#viral #food #youtubeshorts #cooking#recipe #fyp #soyabean #top#shorts",2026-06-15T07:23:20Z,"ഒരു variety ചമ്മന്തി ആയാലോ,🍛#viral #food #youtubeshorts #cooking#recipe #fyp #soyabean #top#shorts",Stephy Francis N2 ,UCq4_hzKoVUGngUP1A-EM2Og,24,886,3,0,460.49258936751573,0.003386004514672686
W0uZLUTvZ2Q,Сезон кабачків офіційно відкрито 😉😄 #food #простоісмачно #cooking #recipe #кабачки #закуска,2026-06-15T07:18:38Z,,Інна Кабачинська,UCCksJGlvDhy64uyyy97lVog,22,450,16,0,224.7348182207383,0.035555555555555556
oQCQtp01E-E,#food #funny #cooking #recipe #youtubeshorts #cooking #streetfood #snacks #shorts,2026-06-15T07:13:59Z,,RKHealthyfoodreceipezz,UCf10eJc8VNWZM7GyZi18F3Q,22,5384,30,1,2588.6358323354148,0.005757800891530461
FbmNpj8TTP4,Today lunch box recipe #food #trending #cooking #recipe #shorts,2026-06-15T07:13:36Z,,"𝐆𝐫𝐞𝐞𝐧 𝐡𝐨𝐮𝐬𝐞 𝐜𝐨𝐨𝐤𝐢𝐧𝐠
",UC9AtgUVa1bJaiMiF1VN6MkA,22,871,7,0,417.4957380942984,0.008036739380022962
Rs1N5SPY0bc,khandvi recipe 😘#youtube #khandvi #gujrati #shots #dhokla #cooking #recipe #food #foodie #healtyfood,2026-06-15T06:54:23Z,khandvi recipe 😘#youtube #khandvi #gujrati #shots #dhokla #cooking #recipe #food #foodie #healtyfood,cook_at_home0818,UC5uHYEyUsZQgRjT8ZXtoV4g,22,48647,0,5,20214.611218898688,0.00010278126092050897
rkcPaNbgFWg,ঘ্যাটকোল রুই মাছের ডিম #food #cooking #recipe #mycooking,2026-06-15T06:51:17Z,"please subscribe my channel , please  subscribe my channel 


THANK YOU  FOR WATCHING",Gramoo randhansala,UCoMNUKDKchbkIvkOoTtKr0A,26,454,4,0,184.68848750223097,0.00881057268722467
TSElmNMZdrw,Rainbow Sandwich #sandwich #viral #food #recipe #viralvideo #viral #cooking #shortvideo #shorts #yt,2026-06-15T06:47:08Z,,monukirasoi,UCzg_Qwzyw1QQ2w50oGqITEQ,22,718,5,1,284.0909143989793,0.008356545961002786
tazQqLXGPmg,pahadi style Wai Wai 😋🍜 #shorts #ytshorts #food #recipe #trendingshorts #cooking #waiwainoodles,2026-06-15T06:47:12Z,,The Freedom Bird,UCVtEREwPXpgpH5Arw7YYXow,22,2083,7,0,824.5426838576054,0.003360537686029765
YWgVCiD5K-8,usne Manga tu Diya 😆 #cooking #food #recipe #celebrity #funny #explorepage #shorts,2026-06-15T06:39:02Z,,Rita Home Kitchen,UCq1_TgkC_mllWl_uP2qx_Lw,26,22933,174,1,8613.786417600226,0.007630924868094013
HcogX3xmgCk,पनीर सेनविच #food #shortvideo #indianfoodmadeeasy #cooking #cooking #indian #recipe #shortvideo 🙏👍,2026-06-15T06:33:20Z,,INDIAN BHOJAN,UCyCGFem9h9Ya9PhfI7WnnJQ,22,20345,189,2,7378.434570903356,0.009388056033423445
lwiy8CIEpd0,সাদা মাটা নিরামিষ খাবার 🤤🫶🏼 #youtubeshorts #food #cooking #recipe #villagerlifestyle,2026-06-15T06:30:19Z,,Mr.& Mrs. Naiya,UCW2zV7G_Jqyu8zoXyvHYIPg,22,531,5,1,189.1269640029127,0.011299435028248588
O0NLtZjH644,Dhaba Style Egg Curry ASMR Cooking #shorts #food#cooking #recipe #eggcurry #egg #nonveg #viral,2026-06-15T06:30:10Z,"Dhaba Style Egg Curry ASMR Cooking #shorts #food

#cooking #recipe #eggcurry #egg #nonveg #viral

#food #indianfood #cooking #shortvideo #easyrecipe #tasty
#foodie #lunchbox #lunch",Maaa Inti Vantalu,UCJgA_UGVfrYK8fCXdfuyxog,26,867,13,0,308.5258030497305,0.014994232987312572
6p6K4BbDMj8,Qiyma goshtidan rulet tayyorlab yaqinlarizni xursand qiling #food #cooking #recipe #foodie #yummy,2026-06-15T06:26:41Z,,Shahlo_kitchen,UCB3PbYKfUloF3XoJSAm6nIw,22,725,9,0,252.7723649276802,0.012413793103448275
dSCxUBA-R5k,#beautiful #nature #khwaza #food #mango #aam #allah #foodie #cooking #recipe #rice#mushkil#love #new,2026-06-15T06:14:45Z,,Bismil_kitchen,UCYGgTDOHftCdmpUhOVoDZpQ,29,892,61,0,290.8301601015956,0.06838565022421525
